size,AVL-Insert-time (ns),Heap-Insert-time (ns),AVL-RemoveMin-time (ns),Heap-RemoveMin-time (ns)
975,583,1708,1916,1416
976,667,1042,1875,875
977,667,1333,1625,1458
978,500,791,1834,1250
979,584,8972959,230208,96417
980,792,304959,2666,1625
981,666,1792,1792,86458
982,155250,2417,236333,1791
983,792,1375,1750,1125
984,375,1375,4209,2250
985,250,317666,2333,1250
986,417,1542,1792,1291
987,458,833,1917,1333
988,583,1416,2042,1958
989,917,1250,2125,1500
990,417,1750,264583,82375
991,750,1125,2375,2458
992,2166,14083,2958,1833
993,416,791,1750,1250
994,417,833,1000,916
995,459,1167,1750,1375
996,375,708,1291,3625
997,292,13875,4291,18042
998,1083,541,3417,1458
999,459,791,1750,1208
